title,review_idx,director,actors,content,other,director_score,actors_score,content_score,other_score
12_angry_men,0,,,near perfect,,,,3.2,
12_angry_men,1,solid,excellent|outstanding,spirited|realistic,,5.0,4.0,3.5,
12_angry_men,2,,,uncommon,slickly sophisticated,,,-3.2,
12_angry_men,3,,,dramatic|fascinating|psychologically realistic,,,,4.5,
12_angry_men,4,,,,,,,,
12_angry_men,5,,,,,,,,
12_angry_men,6,,,deep revelation,,,,5.2,
12_angry_men,7,surprisingly,,Thought-provoking|continually riveting|absolutely unforgettable|very simple,,2.0,,5.85,
12_angry_men,8,,,good|evil|benevolent|best|greatest,,,,1.8,
12_angry_men,9,,,,more notable,,,,
12_angry_men,10,,,great|best|perfect,very easy,,,4.333333333333333,3.0
12_angry_men,11,,,sorely contemporary|urgently contemporary,,,,,
12_angry_men,12,,,,,,,,
12_angry_men,13,meticulous,,clammy,,3.0,,-2.0,
12_angry_men,14,,,surprisingly well,,,,3.5999999999999996,
12_angry_men,15,,,real|distinct|damaged|interesting,,,,-1.6500000000000001,
12_angry_men,16,,,strained|mightily,Too few,,,-0.5,
12_angry_men,17,,,completely banal|completely dynamic|incredibly nimble,,,,2.4,
12_angry_men,18,,incredible,superb|unparalleled|sheer excellence,,,-3.2,0.3999999999999999,
12_angry_men,19,,,riveting,,,,5.0,
12_angry_men,20,,,incisive|gripping,,,,-4.6,
12_angry_men,21,tense|sweaty|suspenseful|entertaining,,contrived,,-1.0,,-5.0,
12_angry_men,22,,,outstanding|classic,,,,2.5,
12_angry_men,23,great,,brilliant,,5.0,,5.0,
12_angry_men,24,,,shrewd|most proud,,,,4.0,
12_angry_men,25,,,taut|well-crafted,,,,-5.0,
12_angry_men,26,,,tremendous,,,,4.0,
12_angry_men,27,,,classic,,,,1.0,
12_angry_men,28,,memorable,Power house,,,4.0,,
12_angry_men,29,,,no self-saluting|much-desired,,,,,
12_angry_men,30,,,mechanically|middlebrow,,,,4.0,
12_angry_men,31,,,strangely realistic,,,,,
12_angry_men,32,,superlative,brilliant,,,4.0,5.0,
12_angry_men,33,,,masterful|ideal|antagonistic,,,,1.0666666666666667,
12_angry_men,34,,,great|suitable,,,,3.0,
12_angry_men,35,incrível,,obra-prima|imensurável,,,,,
12_angry_men,36,,,much better,,,,,
12_angry_men,37,,,all right|powerful|provocative|spellbound,ungallant,,,0.6666666666666666,
12_angry_men,38,,,intense,all-time favourite,,,-3.2,
12_angry_men,39,,,a bit stagy|never short,,,,1.6,
12_angry_men,40,,,,,,,,
12_angry_men,41,,,pure dynamite,,,,,
12_angry_men,42,,,gripping|penetrating|engrossing,,,,0.6666666666666666,
12_angry_men,43,,,tautest,very good,,,-5.0,4.5
12_angry_men,44,,,timeless|classic,,,,2.5,
12_angry_men,45,energetic,,Thoroughly engaging|nothing dated|corny|intensely knowing,,5.0,,2.4,
12_angry_men,46,,,high|undisputed,,,,-0.30000000000000004,
12_angry_men,47,,,bloated|classic,,,,-2.0,
12_angry_men,48,,,,,,,,
underworld,0,,,absorbing|spellbinding,,,,1.6,
underworld,1,,herculean|gory|raging,,,,-2.3333333333333335,,
underworld,2,,,best,,,,4.0,
underworld,3,great,,,,5.0,,,
underworld,4,,,luridly evocative,,,,,
underworld,5,,,,,,,,
underworld,6,richly ornamental|willful,,dense,,-3.0,,-0.8,
underworld,7,,,Gripping|superbly told,,,,-6.0,
underworld,8,,,,,,,,
underworld,9,classical|modern|expressive|distinctive,,,,1.45,,,
underworld,10,,,,,,,,
underworld,11,,,,not ready,,,,-4.0
underworld,12,,,fascinating,,,,5.0,
underworld,13,better,competent,,,5.0,4.0,,
underworld,14,,,,,,,,
underworld,15,,,great|considerable|classic,,,,2.6666666666666665,
underworld,16,,,,,,,,
underworld,17,,,effective,,,,4.0,
"20,000_leagues_under_the_sea",0,,,,,,,,
"20,000_leagues_under_the_sea",1,,,definitive,,,,,
"20,000_leagues_under_the_sea",2,,,hallucinatory|visionary,,,,-0.5,
"20,000_leagues_under_the_sea",3,,,good|better,,,,4.0,
"20,000_leagues_under_the_sea",4,,,,,,,,
"20,000_leagues_under_the_sea",5,,,classic,,,,1.0,
"20,000_leagues_under_the_sea",6,,hard-edged|dramatic|no winking|cartoonish|much darker,,,,0.7999999999999998,,
"20,000_leagues_under_the_sea",7,,,breathtaking|finest,,,,4.0,
"20,000_leagues_under_the_sea",8,,,Far superior|hardly dated,,,,,
"20,000_leagues_under_the_sea",9,,,very special|imaginative|daring,,,,1.6666666666666667,
"20,000_leagues_under_the_sea",10,,,grandly entertaining,,,,,
"20,000_leagues_under_the_sea",11,,,best|greats,,,,4.5,
"20,000_leagues_under_the_sea",12,,,great|fully deserving,,,,5.0,
"20,000_leagues_under_the_sea",13,,,fabulous|fantastic,,,,3.5,
"20,000_leagues_under_the_sea",14,,,sublime,,,,5.0,
"20,000_leagues_under_the_sea",15,,,fun,,,,3.0,
"20,000_leagues_under_the_sea",16,,,talky,interested,,,-5.0,-2.4000000000000004
"20,000_leagues_under_the_sea",17,,,,,,,,
"20,000_leagues_under_the_sea",18,,,great,,,,5.0,
"20,000_leagues_under_the_sea",19,,,,better,,,,5.0
"20,000_leagues_under_the_sea",20,,,finest,,,,,
"20,000_leagues_under_the_sea",21,,,best|superbly,,,,4.0,
dark_city,0,,virile|well-rounded|intelligent,,,,0.3999999999999999,,
dark_city,1,reliable,,unambitious|handsome,,5.0,,4.0,
dark_city,2,,,dark|excellent,,,,-0.5,
aliens,0,,,thrilling,,,,3.0,
aliens,1,,,extremely ambitious|most satisfying|fantastic|fantastic|fantastic,pretty sacred,,,5.0,4.8
aliens,2,,,unarguably greatest,,,,,
