title,review_idx,director,actors,content,other
12_angry_men,0,,,near perfect,
12_angry_men,1,solid,excellent|outstanding,spirited|realistic,
12_angry_men,2,,,uncommon,slickly sophisticated
12_angry_men,3,,,dramatic|fascinating|psychologically realistic,
12_angry_men,4,,,,
12_angry_men,5,,,,
12_angry_men,6,,,deep revelation,
12_angry_men,7,surprisingly,,Thought-provoking|continually riveting|absolutely unforgettable|very simple,
12_angry_men,8,,,good|evil|benevolent|best|greatest,
12_angry_men,9,,,,more notable
12_angry_men,10,,,great|best|perfect,very easy
12_angry_men,11,,,sorely contemporary|urgently contemporary,
12_angry_men,12,,,,
12_angry_men,13,meticulous,,clammy,
12_angry_men,14,,,surprisingly well,
12_angry_men,15,,,real|distinct|damaged|interesting,
12_angry_men,16,,,strained|mightily,Too few
12_angry_men,17,,,completely banal|completely dynamic|incredibly nimble,
12_angry_men,18,,incredible,superb|unparalleled|sheer excellence,
12_angry_men,19,,,riveting,
12_angry_men,20,,,incisive|gripping,
12_angry_men,21,tense|sweaty|suspenseful|entertaining,,contrived,
12_angry_men,22,,,outstanding|classic,
12_angry_men,23,great,,brilliant,
12_angry_men,24,,,shrewd|most proud,
12_angry_men,25,,,taut|well-crafted,
12_angry_men,26,,,tremendous,
12_angry_men,27,,,classic,
12_angry_men,28,,memorable,Power house,
12_angry_men,29,,,no self-saluting|much-desired,
12_angry_men,30,,,mechanically|middlebrow,
12_angry_men,31,,,strangely realistic,
12_angry_men,32,,superlative,brilliant,
12_angry_men,33,,,masterful|ideal|antagonistic,
12_angry_men,34,,,great|suitable,
12_angry_men,35,incrível,,obra-prima|imensurável,
12_angry_men,36,,,much better,
12_angry_men,37,,,all right|powerful|provocative|spellbound,ungallant
12_angry_men,38,,,intense,all-time favourite
12_angry_men,39,,,a bit stagy|never short,
12_angry_men,40,,,,
12_angry_men,41,,,pure dynamite,
12_angry_men,42,,,gripping|penetrating|engrossing,
12_angry_men,43,,,tautest,very good
12_angry_men,44,,,timeless|classic,
12_angry_men,45,energetic,,Thoroughly engaging|nothing dated|corny|intensely knowing,
12_angry_men,46,,,high|undisputed,
12_angry_men,47,,,bloated|classic,
12_angry_men,48,,,,
underworld,0,,,absorbing|spellbinding,
underworld,1,,herculean|gory|raging,,
underworld,2,,,best,
underworld,3,great,,,
underworld,4,,,luridly evocative,
underworld,5,,,,
underworld,6,richly ornamental|willful,,dense,
underworld,7,,,Gripping|superbly told,
underworld,8,,,,
underworld,9,classical|modern|expressive|distinctive,,,
underworld,10,,,,
underworld,11,,,,not ready
underworld,12,,,fascinating,
underworld,13,better,competent,,
underworld,14,,,,
underworld,15,,,great|considerable|classic,
underworld,16,,,,
underworld,17,,,effective,
"20,000_leagues_under_the_sea",0,,,,
"20,000_leagues_under_the_sea",1,,,definitive,
"20,000_leagues_under_the_sea",2,,,hallucinatory|visionary,
"20,000_leagues_under_the_sea",3,,,good|better,
"20,000_leagues_under_the_sea",4,,,,
"20,000_leagues_under_the_sea",5,,,classic,
"20,000_leagues_under_the_sea",6,,hard-edged|dramatic|no winking|cartoonish|much darker,,
